rank,company,domain,industry,revenue_usd,employees,city,state,careers_url,ats,ats_url,tier_recommendation,confidence
163,Marsh & McLennan,marshmclennan.com,Banking & Financial Services,26500000000,90000,New York,New York,https://careers.marsh.com/eu/en,phenom,,tier1_ats,medium
164,NextEra Energy,nexteraenergy.com,Energy & Utilities,26300000000,16800,Juno Beach,Florida,https://www.nexteraenergy.com/careers/join-our-team.html,custom,,tier2_llm_http,medium
165,McDonald's,mcdonalds.com,Other,26300000000,150000,Chicago,Illinois,https://karriere.mcdonalds.de/,paradox,,tier3_llm_browser,high
166,Booking.com,bookingholdings.com,Technology,26000000000,24179,Norwalk,Connecticut,,custom,,tier2_llm_http,low
167,U.S. Bancorp,usbank.com,Banking & Financial Services,26000000000,70263,Minneapolis,Minnesota,https://careers.usbank.com/global/en,workday,https://usbank.wd1.myworkdayjobs.com/US_Bank_Careers/login,tier1_ats,high
168,Freeport-McMoRan,fcx.com,Energy & Utilities,26000000000,28500,Phoenix,Arizona,https://fcx.com/careers,custom,,tier2_llm_http,medium
169,Jones Lang LaSalle,jll.com,Other,25300000000,112100,Chicago,Illinois,https://www.jll.com/de-de/careers,workday,https://jll.wd1.myworkdayjobs.com/jllcareers/job/Chicago-IL/JLL-s-Talent-Network_REQ445692?source=APPLICANT_SOURCE-6-36,tier1_ats,high
170,Kraft Heinz,kraftheinzcompany.com,Retail & Consumer Goods,25200000000,36000,Chicago,Illinois,,custom_js_only,,tier3_llm_browser,low
171,Marriott International,marriott.com,Other,25100000000,155000,Bethesda,Maryland,https://careers.marriott.com/,oracle_recruiting,https://ejwl.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/my-profile/sign-in,tier1_ats,high
172,Constellation Energy,constellationenergy.com,Energy & Utilities,24800000000,14240,Baltimore,Maryland,https://jobs.constellationenergy.com/careers-home/,icims,https://careers-constellationenergy.icims.com/jobs/login?loginOnly=1,tier1_ats,high
173,3M,3m.com,Manufacturing & Industrial,24800000000,61500,St. Paul,Minnesota,https://www.3m.com/3M/en_WW/careers-select-location/?utm_medium=redirect&utm_source=vanity-url&utm_campaign=www.3m.com/careers,workday,https://3m.wd1.myworkdayjobs.com/es/Search,tier1_ats,high
174,Waste Management,wm.com,Other,24800000000,61700,Houston,Texas,https://www.wm.com/us/en/inside-wm/careers,oracle_recruiting,https://emcm.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/WMCareers/requisitions?mode=location&amp;utm_source=wmlandingpage,tier1_ats,high
175,PG&E,pgecorp.com,Energy & Utilities,24800000000,28410,Oakland,California,https://careers.pge.com/,talentbrew,https://tbcdn.talentbrew.com/company/29673/v2_0/documents/pge_equal_employment_opportunity_policy_new-11-17-22.pdf,tier1_ats,high
176,Live Nation Entertainment,livenationentertainment.com,Telecom & Media,24600000000,24200,Beverly Hills,California,https://www.livenationentertainment.com/careers,workday,https://livenation.wd503.myworkdayjobs.com/en-US/LNExternalSite,tier1_ats,high
177,Union Pacific,up.com,Transportation & Logistics,24600000000,32439,Omaha,Nebraska,https://www.up.com/careers,successfactors,https://performancemanager4.successfactors.com/sf/,tier3_llm_browser,medium
